Data Year,ID,PropertyName,ReportingStatus,Address,ZIPCode,ChicagoEnergyRating,ExemptFromChicagoEnergyRating,CommunityArea,PrimaryPropertyType,GrossFloorArea,TotalGHGEmissions,GHGIntensity,YearBuilt,NumberOfBuildings,WaterUse,ENERGYSTARScore,ElectricityUse,NaturalGasUse,DistrictSteamUse,DistrictChilledWaterUse,AllOtherFuelUse,SiteEUI,SourceEUI,WeatherNormalizedSiteEUI,WeatherNormalizedSourceEUI,Latitude,Longitude,Location,Row_ID,Wards,CommunityAreas,ZipCodes,CensusTracts,HistoricalWards2003-2015
2020,256434,Keating Hall,Submitted Data,3040 S Wabash Avenue,60616,2,FALSE,DOUGLAS,College/University,"53,163","24,537.5",461.6,1967,1,,,"1,743,931.2","456,846,021.9",,,,"8,626.1","9,114.8","9,314.9","9,838.6",41.842325,-87.62715344,"(41.842325, -87.62715344)",2020-256434,9,1,21194,377,12
2020,109613,Cook County Department of Corrections Campus,Submitted Data,2700 S California Ave,60608,,TRUE,SOUTH LAWNDALE,Prison/Incarceration,"5,283,746","50,507.1",11.1,1926,57,,,"181,413,218.9","417,475,703.0",,,,131.1,207.1,135.2,210.8,41.84329289,-87.69598814,"(41.84329289, -87.69598814)",2020-109613,14,32,14920,124,29
2020,159651,,Submitted Data,352 360 W WELLINGTON AVE,60657,1,FALSE,LAKE VIEW,Multifamily Housing,"158,320","19,869.9",136.5,1960,1,,,"738,234.0","371,924,615.1",,,,"2,559.5","2,696.3","2,559.6","2,696.5",41.93692151,-87.63910514,"(41.93692151, -87.63910514)",2020-159651,25,57,4449,683,38
2020,101551,Metropolitan Pier and Exposition Authority,Submitted Data,301 Cermak Rd,60616,3,FALSE,ARMOUR SQUARE,Convention Center,"9,245,333","76,934.8",8.3,1971,10,,,"374,952,024.6","346,725,881.9",,,,78.1,152.9,80.3,155.3,41.85284,-87.634931,"(41.85284, -87.634931)",2020-101551,26,35,21194,3,8
2020,103630,Stroger Hospital Campus,Submitted Data,1901 W Harrison St,60612,1,FALSE,NEAR WEST SIDE,Hospital (General Medical & Surgical),"1,596,300","45,230.3",28.3,2002,4,,9,"174,151,363.9","339,841,062.4",,,,322.0,529.0,326.8,533.1,41.874071,-87.674135,"(41.874071, -87.674135)",2020-103630,46,29,21184,5,48
2020,100867,Rush University Medical Center,Submitted Data,1653 W Congress Pkwy,60612,2,FALSE,NEAR WEST SIDE,Hospital (General Medical & Surgical),"5,863,656","102,661.0",26.4,1982,19,,30,"456,007,414.0","325,954,996.6","213,546,900.6",,,255.6,481.7,256.1,481.8,41.875121,-87.668005,"(41.875121, -87.668005)",2020-100867,46,29,21184,90,48
2020,103632,NMH Feinberg Pavilion and Galter Pavilion,Submitted Data,251 E Huron St,60611,4,FALSE,NEAR NORTH SIDE,Hospital (General Medical & Surgical),"2,200,000","45,388.3",20.6,1999,1,,68,"193,160,451.5","286,960,500.4",,,,218.2,382.8,218.2,382.7,41.89458666,-87.62152834,"(41.89458666, -87.62152834)",2020-103632,36,37,21182,158,22
2020,101681,Presence Resurrection Medical Center,Submitted Data,7435 W Talcott Ave,60631,2,FALSE,NORWOOD PARK,Hospital (General Medical & Surgical),"1,511,148","22,882.1",20.9,1953,2,,49,"88,501,012.3","170,758,937.9",,,,236.5,389.7,241.6,391.9,41.98632417,-87.81456571,"(41.98632417, -87.81456571)",2020-101681,29,36,22243,734,34
2020,103614,Ann & Robert H. Lurie Children's Hospital of Chicago,Submitted Data,225 E Chicago Ave,60611,4,FALSE,NEAR NORTH SIDE,Hospital (General Medical & Surgical),"1,287,909","26,970.9",20.9,2012,1,,73,"114,113,847.1","169,769,568.0",,,,221.9,388.0,225.2,389.4,41.896764,-87.621559,"(41.896764, -87.621559)",2020-103614,11,37,21182,158,22
2020,160196,The Art Institute of Chicago,Submitted Data,111 S Michigan Ave,60603,2,FALSE,LOOP,Museum,"1,008,416","20,891.4",20.7,1892,1,,,"79,096,897.3","160,912,625.4",,,,238.0,387.2,240.8,390.1,41.880452,-87.624229,"(41.880452, -87.624229)",2020-160196,36,38,14311,367,22
2020,231019,Aqua,Submitted Data,225 N Columbus Dr,60601,1,FALSE,LOOP,Multifamily Housing,"1,668,187","12,896.1",10.0,2009,1,,24,"30,768,518.2","152,388,451.9",,,,141.4,190.1,147.1,196.0,41.88656117,-87.62004511,"(41.88656117, -87.62004511)",2020-231019,36,38,14309,580,22
2020,100372,Holy Cross Hospial,Submitted Data,2701 W 68th St,60629,4,FALSE,CHICAGO LAWN,Hospital (General Medical & Surgical),"409,910","7,707.5",18.8,1911,1,,76,"5,050,093.6","130,271,002.2",,,,330.1,368.2,,,41.770003,-87.690841,"(41.770003, -87.690841)",2020-100372,31,64,21867,383,44
2020,103615,NMH Prentice Womens Hospital,Submitted Data,250 E Superior St,60611,2,FALSE,NEAR NORTH SIDE,Hospital (General Medical & Surgical),"945,000","20,819.7",22.0,2007,1,,48,"89,465,259.1","129,096,845.3",,,,231.3,408.5,233.0,409.3,41.89627286,-87.62088103,"(41.89627286, -87.62088103)",2020-103615,11,37,21182,158,22
2020,102285,Advocate Illinois Masonic Medical Center,Submitted Data,836 W Wellington Ave,60657,4,FALSE,LAKE VIEW,Hospital (General Medical & Surgical),"1,836,457","17,649.0",13.5,1908,15,,98,"70,196,580.6","126,018,715.1",,,,149.7,250.9,153.7,254.5,41.93678761,-87.65090588,"(41.93678761, -87.65090588)",2020-102285,25,57,4449,681,38
2020,159510,Presidential Towers,Submitted Data,555 W Madison St,60661,4,FALSE,NEAR WEST SIDE,Multifamily Housing,"3,045,000","13,671.8",5.0,1986,4,,91,"48,105,566.8","116,051,283.6",,,,59.7,93.3,62.2,95.5,41.88114124,-87.64186869,"(41.88114124, -87.64186869)",2020-159510,36,29,4452,786,48
2020,250117,S1-Sinai,Submitted Data,1525 S CALIFORNIA AVE,60608,4,FALSE,North Lawndale,Hospital (General Medical & Surgical),"1,009,270","15,145.1",15.0,1911,1,,97,"57,666,264.6","115,696,003.8",,,,171.8,280.3,,,41.86035602,-87.69567108,"(41.86035602, -87.69567108)",2020-250117,23,30,14920,16,11
2020,254368,Shirley Ryan AbilityLab,Submitted Data,355 E ERIE ST,60611,4,FALSE,Near North Side,Hospital (General Medical & Surgical),"1,260,211","14,187.6",16.2,2016,1,,95,"55,683,804.9","103,494,107.1",,,,181.3,301.4,184.5,303.6,41.89535128,-87.62272623,"(41.89535128, -87.62272623)",2020-254368,36,37,21182,158,22
2020,103716,The Palmer House Hotel,Submitted Data,17 E Monroe St,60603,4,FALSE,LOOP,Hotel,"1,749,427","11,167.8",6.6,1925,3,,88,"36,891,526.2","103,199,234.9",,,,82.0,124.1,84.8,127.1,41.88032223,-87.62695184,"(41.88032223, -87.62695184)",2020-103716,36,38,14311,367,22
2020,250165,River East Center Campus,Submitted Data,322 E Illinois St,60611,1,FALSE,NEAR NORTH SIDE,Mixed Use Property,"1,975,361","15,478.5",10.2,2001,1,,20,"64,410,587.3","102,156,516.4",,,,110.2,190.3,111.5,191.4,41.8914469,-87.61889748,"(41.8914469, -87.61889748)",2020-250165,36,37,21182,159,22
2020,250069,Altgeld Gardens,Submitted Data,925 E 130th St,60628,2,FALSE,RIVERDALE,Multifamily Housing,"1,182,400","11,064.3",9.4,1945,236,,27,"44,542,895.7","102,081,396.6",,,,124.0,196.1,128.5,200.9,41.65911898,-87.60315875,"(41.65911898, -87.60315875)",2020-250069,43,51,4460,9,30
2020,101757,IL0000FC - Chicago Federal Ctr,Submitted Data,219 S Dearborn,60604,4,FALSE,LOOP,Mixed Use Property,"3,176,860","18,412.8",5.8,1975,1,,76,"83,287,237.6","101,934,238.4",,,,58.3,107.1,60.3,109.0,41.87881863,-87.62895341,"(41.87881863, -87.62895341)",2020-101757,36,38,14912,92,22
2020,101776,Hyatt Regency Chicago,Submitted Data,151 E Wacker Dr,60601,4,FALSE,LOOP,Hotel,"2,295,495","13,218.8",6.5,1974,1,,93,"50,754,797.4","99,737,806.5",,,,74.4,122.0,76.9,124.7,41.88770297,-87.62267404,"(41.88770297, -87.62267404)",2020-101776,36,38,14309,580,22
2020,250075,Lowden Homes,Submitted Data,200 W 95th St,60628,1,FALSE,ROSELAND,Multifamily Housing,"114,868","5,530.4",48.1,1954,19,,1,"1,786,861.8","98,870,771.9",,,,876.3,947.3,938.4,"1,012.6",41.72174884,-87.6288572,"(41.72174884, -87.6288572)",2020-250075,13,45,21861,187,18
2020,100433,Presence SMEMC St Mary Campus,Submitted Data,2233 W Division St,60622,3.5,FALSE,WEST TOWN,Hospital (General Medical & Surgical),"981,153","15,414.6",22.1,1976,5,,58,"65,483,978.2","97,798,072.1",,,,234.1,410.1,241.3,417.4,41.90251573,-87.68336086,"(41.90251573, -87.68336086)",2020-100433,11,25,21560,541,16
2020,159896,Regents Park,Submitted Data,5020 - 5050 S Lake Shore Dr,60615,2,FALSE,KENWOOD,Multifamily Housing,"1,460,101","9,661.2",6.6,1972,1,,50,"29,420,994.3","95,443,598.7",,,,85.5,125.1,90.2,129.8,41.80366926,-87.58484454,"(41.80366926, -87.58484454)",2020-159896,33,5,21192,400,1
2020,102283,Presence St Joseph Hospital - Chicago,Submitted Data,2900 N Lake Shore Dr,60657,4,FALSE,LAKE VIEW,Hospital (General Medical & Surgical),"966,916","12,603.3",18.5,1960,2,,78,"49,900,285.1","90,660,907.3",,,,206.2,344.5,210.4,349.1,41.93498449,-87.63728308,"(41.93498449, -87.63728308)",2020-102283,25,57,4449,103,38
2020,157955,Hilton Chicago,Submitted Data,720 S Michigan Ave,60605,4,FALSE,LOOP,Hotel,"2,054,590","13,461.3",6.6,1927,1,,92,"56,853,318.8","86,384,061.1",,,,69.7,121.6,72.7,124.8,41.87250897,-87.6251104,"(41.87250897, -87.6251104)",2020-157955,10,38,14913,368,48
2020,101755,Harris Bank Building,Submitted Data,115 S LaSalle St,60603,3.5,FALSE,LOOP,Office,"1,526,102","14,248.7",9.3,1974,1,,57,"62,158,178.6","85,619,806.5",,,,96.8,173.0,99.5,175.8,41.88031326,-87.63191186,"(41.88031326, -87.63191186)",2020-101755,36,38,14311,92,22
2020,173497,Shop & Save Market - Nagle,Submitted Data,6312 N Nagle Ave,60646,1,FALSE,NORWOOD PARK,Supermarket/Grocery Store,"66,711","5,584.2",83.7,1987,1,,1,"8,378,709.3","80,514,977.7",,,,"1,332.5","1,618.9","1,465.7","1,756.1",41.99589087,-87.78753092,"(41.99589087, -87.78753092)",2020-173497,29,36,22532,657,34
