Name,Office,Office Phone,Fax,Email,Website,Office Address,City,State,Zip,City Hall Phone,City Hall Address,City Hall City,City Hall State,City Hall Zip
Daniel La Spata,1,(872) 206-2685,(312) 448-8829,info@the1stward.com,https://www.chicago.gov/content/city/en/about/wards/01.html,1958 N. Milwaukee Ave.,Chicago,IL,60647,(872) 206-2685,121 N. La Salle Room 200,Chicago,IL,60602
Brian Hopkins,2,(312) 643-2299,,office@aldermanhopkins.com,https://www.chicago.gov/content/city/en/about/wards/02.html,,Chicago,IL,,(312) 643-2299,121 N. La Salle Room 300,Chicago,IL,60602
Pat Dowell,3,(773) 373-9273,,ward03@cityofchicago.org,https://www.chicago.gov/content/city/en/about/wards/03.html,5046 S. State St.,Chicago,IL,60609,(773) 373-9273,121 N. La Salle Room 200,Chicago,IL,60602
Lamont J. Robinson,4,(312) 744-2690,,ward04@cityofchicago.org,https://www.chicago.gov/content/city/en/about/wards/04.html,928 E. 43 rd St.,Chicago,IL,60653,(312) 744-2690,121 N. LaSalle St. Room 300,Chicago,IL,60602
Desmon C. Yancy,5,(773) 324-5555,,ward05@cityofchicago.org,https://www.chicago.gov/content/city/en/about/wards/05.html,2230 E. 71,st St Chicago,IL,60649,(773) 324-5555,121 N. LaSalle Street Room 200,Chicago,IL,60602
William E. Hall,6,(773) 241-3100,,ward06@cityofchicago.org,https://www.chicago.gov/content/city/en/about/wards/06.html,8541 S.,State Street Chicago,IL,60619,(773) 241-3100,121 N. LaSalle St. Room 300,Chicago,IL,60602
Gregory I. Mitchell,7,(773) 731-7777,,ward07@cityofchicago.org,https://www.chicago.gov/content/city/en/about/wards/07.html,2249 East 95 th St.,Chicago Illino,is,60617,(773) 731-7777,121 N. LaSalle St. Room 200,Chicago,IL,60602
Michelle A. Harris,8,(773) 874-3300,(773) 224-2425,ward08@cityofchicago.org,https://www.chicago.gov/content/city/en/about/wards/08.html,8539 S. Cottage Grove Ave.,Chicago,IL,60619,(773) 874-3300,121 N. Lasalle St Room 200,Chicago,IL,60602
Anthony Beale,9,(773) 785-1100,,ward09@cityofchicago.org,https://www.chicago.gov/content/city/en/about/wards/09.html,34 East 112,th Place Chicago,IL,60628,(773) 785-1100,121 N. La Salle Room 200,Chicago,IL,60602
Peter Chico,10,(773) 768-8138,,ward10@cityofchicago.org,https://www.chicago.gov/content/city/en/about/wards/10.html,10500 S.,Ewing Avenue Chicago,IL,60617,(773) 768-8138,121 N. LaSalle St. Room 200,Chicago,IL,60602
Nicole Lee,11,(773) 254-6677,,ward11@cityofchicago.org,https://www.chicago.gov/content/city/en/about/wards/11.html,,Chicago,IL,,(773) 254-6677,121 N. LaSalle St. Room 300,Chicago,IL,60602
