ID,DataYear,ReportingStatus,GrossFloorArea,TotalGHGEmissions,GHGIntensity,NumberOfBuildings,ChicagoEnergyRating,ENERGYSTARScore,ElectricityUse,NaturalGasUse,DistrictSteamUse,DistrictChilledWaterUse,AllOtherFuelUse,SiteEUI,SourceEUI,WeatherNormalizedSiteEUI,WeatherNormalizedSourceEUI,GHGIntensityPercentileGrade,GHGIntensityLetterGrade,EnergyMixWeightedPctSum,EnergyMixPercentileGrade,EnergyMixLetterGrade,index,SubmittedRecordsPercentileGrade,MissingRecordsCount,SubmittedRecordsLetterGrade,AvgPercentileGrade,AvgPercentileLetterGrade
101671,2021,Not Submitted,65250.0,,,,0.0,,,,,,,,,,,,,0.0,27.267605633802816,D,107,0.0,6.0,F,,
101826,2021,Not Submitted,66888.0,,,,0.0,,,,,,,,,,,,,0.0,27.267605633802816,D,173,0.0,6.0,F,,
102323,2021,Not Submitted,93000.0,,,,0.0,,,,,,,,,,,,,0.0,27.267605633802816,D,266,25.0,6.0,D,,
256888,2022,Submitted Data,104849.0,311.5,3.0,1.0,4.0,98.0,1669219.6,1726089.1,0.0,0.0,,32.4,61.9,32.8,61.4,96.58823529411765,A,49.16252828498334,78.1621920841406,B,3667,100.0,0.0,A,89.55899448071507,A
104374,2021,Not Submitted,55686.0,,,,0.0,,,,,,,,,,,,,0.0,27.267605633802816,D,442,16.666666666666664,5.0,F,,
109238,2021,Not Submitted,63800.0,,,,0.0,,,,,,,,,,,,,0.0,27.267605633802816,D,564,75.0,2.0,B,,
112801,2021,Not Submitted,104500.0,,,,0.0,,,,,,,,,,,,,0.0,27.267605633802816,D,629,87.5,1.0,A,,
115231,2021,Not Submitted,59296.0,,,,0.0,,,,,,,,,,,,,0.0,27.267605633802816,D,706,75.0,2.0,B,,
116534,2021,Not Submitted,156544.0,,,,0.0,,,,,,,,,,,,,0.0,27.267605633802816,D,732,62.5,3.0,B,,
119405,2021,Not Submitted,57600.0,,,,0.0,,,,,,,,,,,,,0.0,27.267605633802816,D,804,12.5,7.0,F,,
