id,name,address,type
100001,Ascension SMEMC St Elizabeth Campus,1431 North Claremont Ave,Mixed Use Property
100002,Clemente Community Academy HS -CPS,1147 N Western Ave,K-12 School
100019,411 S Wells,411 S Wells Street,Office
100068,Joffco SOuare,555 W Roosevelt,Other - Mall
100148,The Jeffery Cyril Building,7144-48 S Jeffery Blvd,Multifamily Housing
100179,Saint Anthony Hospital - Main Hospital,2875 West 19th Street,Hospital (General Medical & Surgical)
100211,73 East Lake (sl75),73 E Lake St,Multifamily Housing
100252,,10426  S MICHIGAN AVE,Multifamily Housing
100256,Curie HS,4959 S Archer Ave,K-12 School
100317,C5504WAB (22251),5504 S Wabash Ave,Multifamily Housing
100320,"IMDC LAPORTE, LLC",4039 4051 Laporte Ave,Multifamily Housing
100332,Lindblom HS,6130 S Wolcott Ave,K-12 School
100334,,860  N DEWITT PL,Multifamily Housing
100346,2609 West Belmont Avenue,2609 West Belmont Avenue,Multifamily Housing
100372,Holy Cross Hospital,"2701 W 68th St,",Hospital (General Medical & Surgical)
100375,C3600FRA (22112),3600 W Franklin Blvd,Multifamily Housing
100393,"CHICAGO, IL-1542",7601 S Cicero Ave,Retail Store
100395,Richard J. Daley College &  Manufacturing Technology and Engineering Center,7500 South Pulaski Ave,College/University
100396,St. Rita of Cascia High School,7740 South Western Avenue,K-12 School
100397,William J Bogan High School,3939 W 79th St,K-12 School
100417,Marist High School,4200 W. 115th Street,K-12 School
100418,Morgan Park HS,1744 W Pryor Ave,K-12 School
100429,The John Hancock Center,875 N Michigan Ave,Mixed Use Property
100431,1100 N. Clark St.,1100 N. CLARK ST,Automobile Dealership
100433,Ascension SMEMC St Mary Campus.,2233 West Division St,Hospital (General Medical & Surgical)
100438,Palmolive Building Condominium Association,913 921 N Michigan Ave.,Multifamily Housing
100447,211 E. Chicago Ave.,211 E. Chicago Ave.,Office
100448,Hilton Chicago MM Suites,198 East Delaware Place,Hotel
100470,Lawson Partners,30 W Chicago,Multifamily Housing
100485,"1900 W. Farwell, LLC",1900 1910 W. Farwell Ave.,Multifamily Housing
100533,Urban Prep - Englewood HS,6201 S Stewart Avenue,K-12 School
100572,Perspectives Charter Schools - Auburn Gresham Campus,8131 S May Street,K-12 School
100598,Farragut Career Academy HS -CPS,2345 S Christiana Ave,K-12 School
100631,Hubbard HS,6200 S Hamlin Ave,K-12 School
100637,Addison Towers,510-534 Addison,Multifamily Housing
100674,,3301 W Arthington St,Multifamily Housing
100729,801 S Canal St,801 S Canal St,Office
100730,Congress Center,525 W. Van Buren,Office
100851,600 West Chicago & 900 N Kingsbury,600 West Chicago Avenue,Office
100856,United Center,1901 W Madison St,Indoor Arena
100858,Juvenile Courthouse,2245 W. Ogden Ave.,Courthouse
100867,Rush University Medical Center,1653 W Congress Pkwy,Hospital (General Medical & Surgical)
100946,New Englewood Terrace Apartments,6425 S Lowe,Multifamily Housing
100947,C7131YAT (22222),7131 S Yates Blvd,Multifamily Housing
101013,The Damen Jarvis,7320-30 N Damen Ave,Multifamily Housing
101030,Oakwood Shores Sr,3750 S Cottage Grove,Multifamily Housing
101032,Parkview Towers Apartments,5110 S King Dr,Multifamily Housing
101038,FBI Chicago Field Office,2111 W. Roosevelt Rd.,Office
101039,Marshall Metro HS -CPS,3250 W Adams St,K-12 School
101043,Manley Career Academy HS -CPS,2935 W Polk St,K-12 School
101090,Spring Grove Apartments,4554 S Drexel Blvd,Multifamily Housing
101179,Shriners Hospital for Children-Chicago,2211 N. Oak Park Ave.,Hospital (General Medical & Surgical)
101181,Austin 1900 Building,1900 n. Austin,Distribution Center
101185,Digital Lakeside,350 E Cermak,Data Center
101199,DuSable Campus -CPS,4934 S Wabash Ave,K-12 School
101217,850 Eastwood,850 West Eastwood Avenue,Multifamily Housing
101226,Montclare Senior Residences of Avalon Park Phase I,1200 E. 78th Street,Multifamily Housing
101283,Chicago-Central,4058 W Melrose St,Other - Specialty Hospital
101343,The Resurrection Project - Casa Morelos,2015 S Morgan St,Multifamily Housing
101356,DePaul College Prep,3633 N. California,K-12 School
101363,1101 E Hyde Park,1101 E Hyde Park Boulevard,Multifamily Housing
101368,Addison Mall LLC,2901-2949 W. Addison Avenue,Strip Mall
101396,,4640 N SHERIDAN RD,Multifamily Housing
101407,CA 23,15 23 N ABERDEEN ST,Multifamily Housing
101409,238-Senior Suites of Kelvyn Park,2715 N. Cicero,Senior Living Community
101420,Chicago Academy HS / ES,3400 N Austin Ave,K-12 School
101448,,1401  W ROOSEVELT RD,Multifamily Housing
101471,Brompton,701-15 West Brompton,Multifamily Housing
101492,Wright College,4300 North Narragansett,College/University
101507,5148 N Kedzie Ave,5148 N Kedzie Ave,College/University
101508,Northeastern Illinois University,5500 N. Saint Louis Avenue,College/University
101519,239-Senior Suites of MarOuette Village,7430 S. Rockwell,Senior Living Community
101527,Sankofa House,4041 W Roosevelt Rd,Multifamily Housing
101537,4532 - 42 S. Drexel,4532 - 42 S. Drexel Blvd.,Multifamily Housing
101545,Reside at 849,849 West Buena Avenue,Multifamily Housing
101547,Mercy Chicago - Hospital,2525 S Michigan Ave,Hospital (General Medical & Surgical)
101549,Chicago Board Options Exchange,400 S LaSalle St,Financial Office
101551,METROPOLITIAN PIER AND EXPOSITION AUTHORITY,301 East Cermak Road,Convention Center
101557,Atlas 2 E 8th St,2 E 8th St,Multifamily Housing
101559,IL0303ZZ-METCALFE FED BLDG,77 W Jackson,Office
101560,IL0054ZZ - CLARK FEDERAL BLDG,536 S Clark Street,Office
101562,DePaul Center,1 East Jackson Blvd.,College/University
101567,The Monadnock Building,53 West Jackson Blvd,Office
101569,Robert Morris Center,401 S. State St.,Adult Education
101572,King HS,4445 S Drexel Blvd,K-12 School
101579,"First Praire Shores, LLC",2901 S King Drive,Multifamily Housing
101592,5452 S Ellis,5452-5466 S. Ellis Ave,Multifamily Housing
101593,5034 S Woodlawn Ave,5034-5040 S Woodlawn Ave,Multifamily Housing
101643,G&A Senior Residence at Ravenswood,1818 W Peterson #900,Multifamily Housing
101657,TLC Touhy LLC,1329 1337 W TOUHY AVE,Multifamily Housing
101674,Presidents Plaza 2,8700 West Bryn Mawr Ave,Office
101676,O'Hare Plaza I,8725- 8745 W Higgins Rd,Office
101679,Presidents Plaza 1,8600 West Bryn Mawr Ave,Office
101681,Ascension Resurrection Medical Center Campus.,7435 West Talcott Avenue,Hospital (General Medical & Surgical)
101682,Triangle Plaza,8750-8770 West Bryn Mawr Ave,Office
101686,Harlem-Foster Shopping Center,7240 West Foster Avenue,Strip Mall
101691,Mildred Court Condominium Association,2701 N Mildred Ave,Multifamily Housing
101703,AlgonOuin #2,1606 E. 50th Street,Multifamily Housing
101705,AlgonOuin #4,1607 E. 50th Street,Multifamily Housing
101707,111 East Wacker Drive,111 East Wacker Drive,Office
101708,233 North Michigan Avenue,233 North Michigan Avenue,Office
101709,20 North Wacker Drive,20 North Wacker Drive,Office
101710,AlgonOuin #1,1605 E. 50th Street,Multifamily Housing
