Ward,Compliant Buildings,Total Buildings,Total GHG Emissions (tons CO2 eq.),Avg GHG Intensity (kg CO2 eq./sqft),Total Square Footage,Avg Building Age (years)
1,36,49,48684.799999999996,6.957142857142856,5742372.0,52.61224489795919
2,203,238,586267.2,7.486134453781513,70663261.0,51.424369747899156
3,97,165,464106.5,12.723696969696968,33477534.0,46.527272727272724
4,142,193,413754.0,7.493626943005181,52227447.0,62.16580310880829
5,127,174,490171.5,11.299425287356321,35133764.0,72.64367816091954
6,18,30,23261.2,6.776666666666667,3616552.0,62.36666666666667
7,23,33,35775.2,7.978787878787879,4201839.0,62.878787878787875
8,10,22,33714.7,6.322727272727272,7006519.0,60.04545454545455
9,12,24,27044.2,10.545833333333333,2672222.0,59.375
10,13,22,30957.2,7.345454545454545,4019381.0,76.77272727272727
11,20,29,18769.8,6.162068965517241,3387199.0,58.58620689655172
12,15,22,67110.8,12.100909090909092,2958726.0,53.54545454545455
13,9,10,7414.099999999999,5.39,1376139.0,46.7
14,18,20,21001.8,9.22,2572453.0,43.3
15,10,18,13155.4,6.322222222222222,2205110.0,79.66666666666667
16,15,28,32978.6,7.600714285714285,3405765.0,63.392857142857146
17,15,26,17806.9,7.661538461538461,2465289.0,63.76923076923077
18,17,28,20556.7,6.388214285714286,3518891.0,49.07142857142857
19,12,15,18331.6,6.6866666666666665,3042671.0,65.26666666666667
20,34,56,74701.0,9.294642857142858,7217394.0,65.01785714285714
21,19,33,31576.7,9.718181818181819,3396025.0,50.96969696969697
22,11,16,15787.6,7.6000000000000005,1925379.0,61.75
23,11,14,11142.9,10.135714285714286,1311905.0,56.42857142857143
24,14,34,65540.4,6.929411764705883,8837873.0,68.97058823529412
25,14,26,19937.6,6.6038461538461535,2873912.0,60.84615384615385
26,24,29,23501.2,6.862068965517241,3096280.0,63.3448275862069
27,140,205,416075.1,7.69809756097561,42599726.9,46.94634146341463
28,51,78,117350.3,9.657692307692306,14498627.0,51.55128205128205
29,17,28,28259.0,7.3,4008532.0,70.53571428571429
30,12,17,22206.1,7.847058823529412,2862132.0,78.88235294117646
31,12,17,10280.6,5.31764705882353,1846937.0,64.82352941176471
32,50,69,56388.8,7.843768115942029,7102103.0,55.05797101449275
33,18,22,13250.9,6.181818181818182,2202730.0,53.90909090909091
34,244,304,790710.6,7.350657894736842,117235299.0,57.25328947368421
35,22,33,24392.5,7.224242424242425,3757040.0,69.27272727272727
36,21,23,19065.6,8.482608695652173,2442104.0,56.08695652173913
37,12,20,20765.0,7.615,2875799.0,67.95
38,21,23,19598.6,6.607826086956521,3060664.0,51.0
39,24,38,44868.7,7.623157894736842,5124020.0,56.5
40,25,29,39810.6,7.0103448275862075,4221524.0,66.27586206896552
41,37,52,85265.3,7.359615384615385,11919052.0,50.63461538461539
42,309,370,1279444.6,7.476918918918919,180558332.0,49.29189189189189
43,132,156,156693.5,7.100320512820513,24347184.0,60.85897435897436
44,101,129,142097.7,6.203875968992247,21533736.0,67.90697674418605
45,14,20,14178.099999999999,8.6,1874671.0,62.8
46,104,134,154450.7,6.339477611940299,24331613.0,64.67164179104478
47,27,49,44979.8,8.03061224489796,6144958.0,51.02040816326531
48,99,115,116590.7,6.29304347826087,20494433.0,65.77391304347826
49,61,77,48377.3,7.106493506493507,7058451.0,65.94805194805195
50,25,30,25702.4,6.846666666666667,3984078.0,62.86666666666667
