DataYear,ID,PropertyName,ReportingStatus,Address,ZIPCode,ChicagoEnergyRating,ExemptFromChicagoEnergyRating,CommunityArea,PrimaryPropertyType,GrossFloorArea,YearBuilt,NumberOfBuildings,WaterUse,ENERGYSTARScore,ElectricityUse,NaturalGasUse,DistrictSteamUse,DistrictChilledWaterUse,AllOtherFuelUse,SiteEUI,SourceEUI,WeatherNormalizedSiteEUI,WeatherNormalizedSourceEUI,TotalGHGEmissions,GHGIntensity,Latitude,Longitude,Location,Row_ID,Wards,CommunityAreas,ZipCodes,CensusTracts,HistoricalWards2003-2015
2014,100001,Presence SMEMC St Elizabeth Campus,Submitted,1431 North Claremont Ave,60622,nan,,WEST TOWN,Hospital (General Medical & Surgical),309056.0,1928.0,1,,75,21470037.0,42125999.0,,,,206.0,361.0,200.0,355.0,6551.0,21.2,41.90743588,-87.68538017,"(41.90743588, -87.68538017)",2014-100001,41,25,21560.0,516,24
2015,100001,Presence SMEMC St Elizabeth Campus,Submitted,1431 North Claremont Ave,60622,nan,,WEST TOWN,Hospital (General Medical & Surgical),309056.0,1928.0,1,,80,21544439.0,38676396.0,,,,194.9,350.3,197.5,351.5,6383.0,20.7,41.90743588,-87.68538017,"(41.90743588, -87.68538017)",2015-100001,41,25,21560.0,516,24
2016,100001,Presence SMEMC St Elizabeth Campus,Submitted,1431 North Claremont Ave,60622,nan,,WEST TOWN,Hospital (General Medical & Surgical),309056.0,1928.0,1,,84,21387596.6,37456864.9,,,,190.4,344.6,194.6,345.9,5931.7,19.2,41.90743588,-87.68538017,"(41.90743588, -87.68538017)",2016-100001,41,25,21560.0,516,24
2017,100001,Presence SMEMC St Elizabeth Campus,Submitted,1431 North Claremont Ave,60622,nan,,WEST TOWN,Hospital (General Medical & Surgical),309056.0,1928.0,1,,85,21338109.0,35082960.0,,,,182.6,336.0,186.9,338.4,5808.7,18.8,41.90743588,-87.68538017,"(41.90743588, -87.68538017)",2017-100001,41,25,21560.0,516,24
2018,100001,Presence SMEMC St Elizabeth Campus,Submitted,1431 North Claremont Ave,60622,nan,True,WEST TOWN,Mixed Use Property,309056.0,1928.0,1,67.0,,20125763.9,38225615.2,,,,188.8,312.2,186.5,308.4,5378.6,17.4,41.90743588,-87.68538017,"(41.90743588, -87.68538017)",2018-100001,41,25,21560.0,516,24
2019,100001,Presence SMEMC St Elizabeth Campus,Submitted,1431 N Claremont Ave,60622,nan,True,WEST TOWN,Mixed Use Property,309056.0,1928.0,3,,,19078781.5,36039512.8,,,,178.3,,,,,,41.90743588,-87.68538017,"(41.90743588, -87.68538017)",2019-100001,41,25,21560.0,516,24
2021,100001,Ascension SMEMC St Elizabeth Campus,Submitted,1431 N Claremont Ave,60622,nan,True,WEST TOWN,Mixed Use Property,505417.0,1928.0,3,,,18651203.3,34208710.8,0.0,0.0,,171.0,285.2,175.3,286.7,4480.9,14.5,41.90743588,-87.68538017,"(41.90743588, -87.68538017)",2021-100001,41,25,21560.0,516,24
2015,100019,Dixon Building,Submitted,411 415 South Wells Street,60607,nan,,LOOP,Office,60000.0,1908.0,1,,77,2263326.0,2458764.0,,,,78.7,161.5,81.59999999999998,164.0,585.0,9.8,41.87642552,-87.63335549,"(41.87642552, -87.63335549)",2015-100019,26,38,14917.0,92,48
2016,100019,Dixon Building,Submitted,411 415 South Wells Street,60607,nan,,LOOP,Office,60000.0,1908.0,1,,84,2374537.0,1246019.6,,,,60.3,146.1,62.0,145.7,503.9,8.4,41.87642552,-87.63335549,"(41.87642552, -87.63335549)",2016-100019,26,38,14917.0,92,48
2018,100019,Dixon Building,Submitted,411 415 South Wells Street,60607,3.5,False,LOOP,Office,60000.0,1908.0,1,7.0,64,2273814.1,1776826.8,,,,67.5,137.2,65.3,132.9,472.7,7.9,41.87642552,-87.63335549,"(41.87642552, -87.63335549)",2018-100019,26,38,14917.0,92,48
