Data Year,ID,Property Name,Reporting Status,Address,ZIP Code,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location,Row_ID,Wards,Community Areas,Zip Codes,Census Tracts,Historical Wards 2003-2015
2020,160214,Children's Memorial Hospital sub-building,Not Submitted,700 W Fullerton Ave,60614,0.0,false,LINCOLN PARK,,257400,,,,,,,,,,,,,,,,41.92548708,-87.64643712,"(41.92548708, -87.64643712)",2020-160214,34,68,21190,798,51
2020,104095,Hall Plaza,Not Submitted,4600 4650 W Diversey Ave,60639,0.0,false,HERMOSA,,53267,,,,,,,,,,,,,,,,41.93162302,-87.74252593,"(41.93162302, -87.74252593)",2020-104095,17,19,22615,460,7
2020,115108,,Not Submitted,3825  N PINE GROVE AVE,60613,0.0,false,LAKE VIEW,,96636,,,,,,,,,,,,,,,,41.95402016,-87.6620278,"(41.95402016, -87.6620278)",2020-115108,18,57,21186,725,13
2020,105034,Carmen Marine Tenant Chicago Il,Not Submitted,5030 N Marine Dr,60640,0.0,false,UPTOWN,,397000,,,,,,,,,,,,,,,,41.97403176,-87.65193469,"(41.97403176, -87.65193469)",2020-105034,16,31,22616,635,40
2020,103962,,Not Submitted,2828  N CAMBRIDGE AVE,60657,0.0,false,LAKE VIEW,,75300,,,,,,,,,,,,,,,,41.9398511,-87.65844752,"(41.9398511, -87.65844752)",2020-103962,25,57,4449,710,38
2020,173789,,Not Submitted,5332 5340 W Windsor,60630,0.0,false,PORTAGE PARK,,53018,,,,,,,,,,,,,,,,41.97200414,-87.75756578,"(41.97200414, -87.75756578)",2020-173789,50,11,21869,129,20
2020,256458,United Center Office Building,Not Submitted,1901 W Madison St,60612,0.0,false,,,,,,,,,,,,,,,,,,,41.88125398,-87.67448493,"(41.88125398, -87.67448493)",2020-256458,46,29,21184,90,41
2020,103475,,Not Submitted,7235 7245 S JEFFERY BLVD,60649,0.0,false,SOUTH SHORE,,57776,,,,,,,,,,,,,,,,41.76259226,-87.57231648,"(41.76259226, -87.57231648)",2020-103475,33,39,22538,453,32
2020,256653,,Not Submitted,3212 West Diversey Ave,,0.0,false,,,50000,,,,,,,,,,,,,,,,41.88425,-87.63245,"(41.88425, -87.63245)",2020-256653,36,38,14310,92,22
2020,252075,UNO Veterans Memorial Campus (Charter School),Not Submitted,4248 W 47TH ST,60632,0.0,false,ARCHER HEIGHTS,,200999,,,,,,,,,,,,,,,,41.80878989,-87.73077801,"(41.80878989, -87.73077801)",2020-252075,8,54,22248,591,49
2020,251280,WMS Gaming 3401 California,Not Submitted,3401 N California Ave,60618,0.0,false,AVONDALE,,120687,,,,,,,,,,,,,,,,41.94324144,-87.69789403,"(41.94324144, -87.69789403)",2020-251280,20,22,21538,425,2
2020,252030,012-012-Tremont Hotel,Not Submitted,100 E Chestnut,60611,0.0,false,NEAR NORTH SIDE,,95526,,,,,,,,,,,,,,,,41.89857555,-87.62561977,"(41.89857555, -87.62561977)",2020-252030,36,37,21182,104,22
2020,255003,"L - Logan Square Apartment Community 
Navigator Taproom",Not Submitted,2211 N MILWAUKEE AVE,60647,0.0,false,Logan Square,,119727,,,,,,,,,,,,,,,,41.92105626,-87.69421012,"(41.92105626, -87.69421012)",2020-255003,41,23,22535,294,24
2020,116552,,Not Submitted,4001 4013 S ELLIS AVE,60653,0.0,false,OAKLAND,,61610,,,,,,,,,,,,,,,,41.82021138,-87.61246867,"(41.82021138, -87.61246867)",2020-116552,10,4,4301,583,1
2020,175789,,Not Submitted,7540 7554 S STONY ISLAND,60649,0.0,false,SOUTH SHORE,,81378,,,,,,,,,,,,,,,,41.75771915,-87.58613076,"(41.75771915, -87.58613076)",2020-175789,35,39,22538,188,32
2020,145637,,Not Submitted,4815 4835 W BELLE PLAINE AVE,60641,0.0,false,PORTAGE PARK,,126211,,,,,,,,,,,,,,,,41.94615136,-87.74707694,"(41.94615136, -87.74707694)",2020-145637,21,15,22618,360,25
2020,175236,,Not Submitted,4633 4645 N KEDZIE AVE,60625,0.0,false,ALBANY PARK,,52800,,,,,,,,,,,,,,,,41.97208235,-87.70234945,"(41.97208235, -87.70234945)",2020-175236,24,6,21849,620,46
