Address,Coordinates
1100 E 57th St,"{'latitude': 41.7922109, 'longitude': -87.5995715}"
4800 - 4850 S Lake Park Ave,"{'latitude': 41.806829, 'longitude': -87.59062039999999}"
330 N Green St,"{'latitude': 41.8879967, 'longitude': -87.64940279999999}"
400 W Superior St,"{'latitude': 41.8956515, 'longitude': -87.6391009}"
215 N. Aberdeen St.,"{'latitude': 41.88614099999999, 'longitude': -87.65432899999999}"
6307 S STEWART AVE,"{'latitude': 41.7796602, 'longitude': -87.63413899999999}"
700 W Fullerton Ave,"{'latitude': 41.925884, 'longitude': -87.6469039}"
900 North Michigan,"{'latitude': 41.899611, 'longitude': -87.6251964}"
2111 S Clark Ave,"{'latitude': 41.85383350000001, 'longitude': -87.6290446}"
901 S Plymouth Ct,"{'latitude': 41.8702648, 'longitude': -87.6282543}"
7350 7352 N SHERIDAN RD,"{'latitude': 42.0153553, 'longitude': -87.665295}"
2411 W 55th St,"{'latitude': 41.7935185, 'longitude': -87.6850755}"
4434 4444 N Damen Ave,"{'latitude': 41.9626021, 'longitude': -87.6794657}"
6024 W Warwick Ave,"{'latitude': 41.94893829999999, 'longitude': -87.7778324}"
322 E Illinois St,"{'latitude': 41.8914775, 'longitude': -87.6187922}"
1611  W DIVISION ST,"{'latitude': 41.9031844, 'longitude': -87.66791289999999}"
500 W Monroe,"{'latitude': 41.8808419, 'longitude': -87.64076949999999}"
4845 4859 N MAGNOLIA AVE,"{'latitude': 41.9707565, 'longitude': -87.6607662}"
2103 N Lamon Ave,"{'latitude': 41.9190964, 'longitude': -87.7473455}"
1617 1633 W BELMONT AVE,"{'latitude': 41.9395779, 'longitude': -87.6698553}"
3470  N LAKE SHORE DR,"{'latitude': 41.9456823, 'longitude': -87.64198200000001}"
160 N LaSalle St,"{'latitude': 41.8846019, 'longitude': -87.6326642}"
2801 S King Dr,"{'latitude': 41.84360119999999, 'longitude': -87.6164553}"
1200 S Indiana Ave,"{'latitude': 41.867282, 'longitude': -87.6228304}"
454 W DIVISION ST,"{'latitude': 41.90387279999999, 'longitude': -87.6403437}"
1628 W Washington Blvd,"{'latitude': 41.8837244, 'longitude': -87.6680542}"
1110 W Belden,"{'latitude': 41.923805, 'longitude': -87.65664369999999}"
321 339 S DESPLAINES ST,"{'latitude': 41.87698719999999, 'longitude': -87.643664}"
3140 N Sheffield Ave,"{'latitude': 41.9393471, 'longitude': -87.654248}"
2701 W 68th St,"{'latitude': 41.7689833, 'longitude': -87.6925482}"
1540 N LaSalle St,"{'latitude': 41.9102793, 'longitude': -87.63345849999999}"
2025  S INDIANA AVE,"{'latitude': 41.8549312, 'longitude': -87.622062}"
4310 N Melvina Ave,"{'latitude': 41.9585145, 'longitude': -87.78281439999999}"
832 890 W 103RD ST,"{'latitude': 41.7071303, 'longitude': -87.64511809999999}"
240 E Illinois St,"{'latitude': 41.8911546, 'longitude': -87.6210377}"
4600 4650 W Diversey Ave,"{'latitude': 41.93177319999999, 'longitude': -87.7438482}"
3825  N PINE GROVE AVE,"{'latitude': 41.9524874, 'longitude': -87.64761349999999}"
4740 N Western Ave,"{'latitude': 41.9680162, 'longitude': -87.6892742}"
4827 N SHERIDAN RD,"{'latitude': 41.9695911, 'longitude': -87.65433660000001}"
2727 W WINONA ST,"{'latitude': 41.97463399999999, 'longitude': -87.697036}"
6201 S Stewart Ave,"{'latitude': 41.7819948, 'longitude': -87.63429}"
5030 N Marine Dr,"{'latitude': 41.9739552, 'longitude': -87.6519185}"
30 W Monroe,"{'latitude': 41.8810447, 'longitude': -87.6288762}"
5230 5244 N SHERIDAN RD,"{'latitude': 41.9776355, 'longitude': -87.65521079999999}"
212 W Washington St,"{'latitude': 41.8833756, 'longitude': -87.634418}"
3333  W MAYPOLE AVE,"{'latitude': 41.88322609999999, 'longitude': -87.7105127}"
4200 4212 N MARINE DR,"{'latitude': 41.9590775, 'longitude': -87.6469922}"
55 E Ontario St,"{'latitude': 41.8931911, 'longitude': -87.62602070000001}"
1451 E 55th St,"{'latitude': 41.7953499, 'longitude': -87.5910517}"
849 N Franklin St,"{'latitude': 41.897783, 'longitude': -87.6352167}"
2828  N CAMBRIDGE AVE,"{'latitude': 41.9337113, 'longitude': -87.6430527}"
2631 S Indiana Ave,"{'latitude': 41.84471200000001, 'longitude': -87.6209779}"
3202 W 28th St,"{'latitude': 41.8409871, 'longitude': -87.7052921}"
1760 W Wrightwood Ave,"{'latitude': 41.92895830000001, 'longitude': -87.67258919999999}"
110 E Delaware,"{'latitude': 41.8993228, 'longitude': -87.6255307}"
4750 N Sheridan Rd,"{'latitude': 41.9687335, 'longitude': -87.65528220000002}"
636 S Michigan Ave,"{'latitude': 41.873364, 'longitude': -87.6245}"
10810 S Avenue H,"{'latitude': 41.6979098, 'longitude': -87.5337484}"
5332 5340 W Windsor,"{'latitude': 41.9636727, 'longitude': -87.76134189999999}"
1901 W Madison St,"{'latitude': 41.88070889999999, 'longitude': -87.6740355}"
1154  N CAMPBELL,"{'latitude': 41.902843, 'longitude': -87.68967889999999}"
5201 Sheridan Rd,"{'latitude': 41.9767977, 'longitude': -87.6545678}"
733 W Madison St,"{'latitude': 41.8809937, 'longitude': -87.6467365}"
222 W Hubbard St,"{'latitude': 41.8902186, 'longitude': -87.6349486}"
6515 N Kenmore Ave,"{'latitude': 42.0007591, 'longitude': -87.6568918}"
5550 S SHORE DR,"{'latitude': 41.7936709, 'longitude': -87.58115509999999}"
6560 W Fullerton Ave,"{'latitude': 41.9251522, 'longitude': -87.78997489999999}"
3221 N Sacramento Ave,"{'latitude': 41.9405199, 'longitude': -87.7024047}"
8445 S Kolin Ave,"{'latitude': 41.7390682, 'longitude': -87.72942069999999}"
1250 S Michigan Ave,"{'latitude': 41.8664935, 'longitude': -87.624195}"
525 W Van Buren,"{'latitude': 41.87629039999999, 'longitude': -87.6401886}"
7201-09 S Yates Blvd,"{'latitude': 41.7640786, 'longitude': -87.5660644}"
7235 7245 S JEFFERY BLVD,"{'latitude': 41.7630507, 'longitude': -87.57559859999999}"
1415  W LUNT AVE,"{'latitude': 42.0087768, 'longitude': -87.6666067}"
520 S State St,"{'latitude': 41.8751143, 'longitude': -87.6280087}"
1119 E 46th St,"{'latitude': 41.8110793, 'longitude': -87.5986539}"
110 W Huron St,"{'latitude': 41.895035, 'longitude': -87.63163209999999}"
4332 N Paulina St,"{'latitude': 41.9611163, 'longitude': -87.67144069999999}"
5850 S Woodlawn Ave,"{'latitude': 41.7885468, 'longitude': -87.5970342}"
2650 W Bradley Pl,"{'latitude': 41.94999199999999, 'longitude': -87.6947261}"
6628  N SHERIDAN RD,"{'latitude': 42.0031741, 'longitude': -87.66106049999999}"
13221 S Burley,"{'latitude': 41.6551245, 'longitude': -87.5439407}"
6833 N Kedzie Ave,"{'latitude': 42.0056808, 'longitude': -87.7085845}"
7750 S Emerald Ave,"{'latitude': 41.7528559, 'longitude': -87.6432473}"
2626 2644 W 63RD ST,"{'latitude': 41.7794538, 'longitude': -87.6902233}"
245 E 37th St,"{'latitude': 41.8269515, 'longitude': -87.6200606}"
36 50 N MENARD AVE,"{'latitude': 41.8813799, 'longitude': -87.7700997}"
1109 W Washington,"{'latitude': 41.8827988, 'longitude': -87.6549146}"
720 S WELLS ST,"{'latitude': 41.8725605, 'longitude': -87.6339106}"
9912 S Avenue H,"{'latitude': 41.7153792, 'longitude': -87.5332993}"
3212 West Diversey Ave,"{'latitude': 41.93230579999999, 'longitude': -87.7080632}"
7726 S Burnham,"{'latitude': 41.7546264, 'longitude': -87.55732979999999}"
5254  S DORCHESTER AVE,"{'latitude': 41.799817, 'longitude': -87.59201}"
1211 S Prairie Ave,"{'latitude': 41.8673299, 'longitude': -87.62143879999999}"
3350 S Federal Street,"{'latitude': 41.8329199, 'longitude': -87.62922470000001}"
5724 5734 S BLACKSTONE AVE,"{'latitude': 41.790576, 'longitude': -87.5907878}"
4027 W Grenshaw St,"{'latitude': 41.8668394, 'longitude': -87.72623639999999}"
30 N LaSalle St,"{'latitude': 41.8828891, 'longitude': -87.6327896}"
6342 S GREEN ST,"{'latitude': 41.7783237, 'longitude': -87.6465908}"
203 N LaSalle St,"{'latitude': 41.8860496, 'longitude': -87.63192719999999}"
731 S Plymouth Ct,"{'latitude': 41.8726435, 'longitude': -87.6284931}"
1720 S Michigan Ave,"{'latitude': 41.8586026, 'longitude': -87.6246153}"
3740 W 31st St,"{'latitude': 41.8379054, 'longitude': -87.71878459999999}"
5630 N Sheridan Ave,"{'latitude': 41.9847475, 'longitude': -87.65560719999999}"
71 E Wacker Dr,"{'latitude': 41.8873941, 'longitude': -87.62569400000001}"
1624 W 19th St,"{'latitude': 41.8562181, 'longitude': -87.6672669}"
55  W CHESTNUT ST,"{'latitude': 41.8976433, 'longitude': -87.6303245}"
3244  W 59TH ST,"{'latitude': 41.7864167, 'longitude': -87.7051378}"
2330 W 110th Pl,"{'latitude': 41.6933023, 'longitude': -87.6798055}"
360 W Hubbard St,"{'latitude': 41.89040929999999, 'longitude': -87.6384568}"
4248 W 47TH ST,"{'latitude': 41.8086963, 'longitude': -87.7307395}"
2903-2923 N Claremont Ave,"{'latitude': 41.9339697, 'longitude': -87.6866046}"
6200 S Hamlin Ave,"{'latitude': 41.7801987, 'longitude': -87.71864699999999}"
1035 N DEARBORN ST,"{'latitude': 41.9016563, 'longitude': -87.6294752}"
2230 W Mclean Ave,"{'latitude': 41.9188445, 'longitude': -87.683846}"
2330 N HALSTED ST,"{'latitude': 41.9246255, 'longitude': -87.6490492}"
642 S Clark St,"{'latitude': 41.8736018, 'longitude': -87.6308816}"
2200 N Hamlin Ave,"{'latitude': 41.9213348, 'longitude': -87.72241650000001}"
2311 N Racine Ave,"{'latitude': 41.9239434, 'longitude': -87.6581056}"
2718 W Roscoe St,"{'latitude': 41.9432589, 'longitude': -87.6961644}"
8555 S Michigan Ave,"{'latitude': 41.7389837, 'longitude': -87.62057840000001}"
3401 N California Ave,"{'latitude': 41.9432014, 'longitude': -87.6971654}"
225 W Ohio St,"{'latitude': 41.892167, 'longitude': -87.6353342}"
7200 S Ingleside Ave,"{'latitude': 41.7640867, 'longitude': -87.6023599}"
5000 5016 S INDIANA AVE,"{'latitude': 41.8032244, 'longitude': -87.62140740000001}"
200 E Randolph St,"{'latitude': 41.8853579, 'longitude': -87.6213768}"
200 S Wacker Dr,"{'latitude': 41.8789096, 'longitude': -87.63722}"
400 414 W DEMING PL,"{'latitude': 41.9296565, 'longitude': -87.64000779999999}"
201 E Walton Pl,"{'latitude': 41.8999102, 'longitude': -87.6214656}"
210 S Des Plaines St,"{'latitude': 41.8789423, 'longitude': -87.6445088}"
5825 S Kostner Ave,"{'latitude': 41.7879833, 'longitude': -87.7322868}"
100 E Chestnut,"{'latitude': 41.8984841, 'longitude': -87.6256324}"
750 N Orleans St,"{'latitude': 41.8962971, 'longitude': -87.6375267}"
2211 N MILWAUKEE AVE,"{'latitude': 41.921296, 'longitude': -87.6940812}"
5250 S Rockwell St,"{'latitude': 41.798063, 'longitude': -87.689295}"
865  N LARRABEE ST,"{'latitude': 41.8983906, 'longitude': -87.6428698}"
118 N Clark St,"{'latitude': 41.8838711, 'longitude': -87.6311022}"
5740  N SHERIDAN RD,"{'latitude': 41.9866061, 'longitude': -87.6555291}"
1255 S Michigan Ave,"{'latitude': 41.8660307, 'longitude': -87.6234635}"
922 W Washington Blvd,"{'latitude': 41.88344559999999, 'longitude': -87.6505622}"
5200 5208 S BLACKSTONE AVE,"{'latitude': 41.8006198, 'longitude': -87.59078509999999}"
651  S WELLS ST,"{'latitude': 41.8735404, 'longitude': -87.63336629999999}"
5530 S SHORE DR,"{'latitude': 41.7943949, 'longitude': -87.58075509999999}"
4001 4013 S ELLIS AVE,"{'latitude': 41.8217884, 'longitude': -87.602896}"
3145 S Ashland Ave,"{'latitude': 41.8365549, 'longitude': -87.6640103}"
3170 N Sheridan Rd,"{'latitude': 41.9397171, 'longitude': -87.63984359999999}"
606 620 W CORNELIA AVE,"{'latitude': 41.946084, 'longitude': -87.6455167}"
2825  S HALSTED,"{'latitude': 41.8428399, 'longitude': -87.646137}"
5011 W 47TH ST,"{'latitude': 41.8074662, 'longitude': -87.74862739999999}"
1205-1255 N Orleans Court,"{'latitude': 41.9045785, 'longitude': -87.63733669999999}"
