Name,Office,Office Phone,Fax,Email,Website,Office Address,City,State,Zip,City Hall Phone,City Hall Address,City,State,Zip
"Yancy, Desmon C.",05,(312) 744-6832,,Ward05@cityofchicago.org,,2230 East 71st Street,Chicago,IL,60649,(312) 744-6832/3195,121 N. LaSalle Street Room 200,Chicago,IL,60602
"Waguespack, Scott",32,(773) 248-1330,(773) 248-1360,Ward32@cityofchicago.org,http://www.ward32.org,2657 North Clybourn Avenue,Chicago,IL,60614,(312) 744-6567/6574,"121 North LaSalle Street, Room 300",Chicago,IL,60602
"Villegas, Gilbert",36,(773) 745-4636,,Ward36@cityofchicago.org,http://www.36thward.org,"6560 West Fullerton Avenue, Unit C118, Suite A; 2246 West Chicago Avenue",Chicago,IL,60707; 60622,(312) 744-4324/4325/3701,"121 North LaSalle Street, Room 300",Chicago,IL,60602
"Vasquez, Jr., Andre",40,(773) 654-1867,,Ward40@cityofchicago.org,http://www.40thward.org,5620 North Western Avenue,Chicago,IL,60659,(312) 744-6858/7248/3511,"121 North LaSalle Street, Room 200",Chicago,IL,60602
"Valencia, Anna M.",Clerk,(312) 742-5375,,cityclerk@cityofchicago.org,http://www.chicityclerk.com,"121 North LaSalle Street, Room 107",Chicago,IL,60602,(312) 744-8590,"121 North LaSalle Street, Room 107",Chicago,IL,60602
"Taylor, Jeanette B.",20,(773) 966-5336,,Ward20@cityofchicago.org,,"5401 South Wentworth Avenue, Suite 19E",Chicago,IL,60621,(312) 744-6840/5688/7738,"121 North LaSalle Street, Room 300",Chicago,IL,60602
"Taliaferro, Chris ",29,(773) 237-6460,(773) 237-6418,Ward29@cityofchicago.org,http://www.aldtaliaferro.com,6272 West North Avenue,Chicago,IL,60639,(312) 744-8805 / 5486,"121 North LaSalle Street, Room 300",Chicago,IL,60602
"Tabares, Silvana ",23,(773) 582-4444,(773) 582-3332,Ward23@cityofchicago.org,,6247 South Archer Avenue,Chicago,IL,60638,(312) 744-6828 / 5683,"121 North LaSalle Street, Room 200, Office 14",Chicago,IL,60602
"Sposato, Nicholas",38,(773) 283-3838,(773) 283-3235,Ward38@cityofchicago.org,http://aldermansposato.com/,3821 North Harlem Avenue,Chicago,IL,60634,(312) 744-6857/7947/1836,"121 North LaSalle Street, Room 200, Office 2",Chicago,IL,60602
"Silverstein, Debra L.",50,(773) 262-1050,(773) 381-2970,Ward50@cityofchicago.org,http://50thwardchicago.com,2949 West Devon Avenue,Chicago,IL,60659,(312) 744-6855/5680/3180,"121 North LaSalle Street, Room 300, Office 24",Chicago,IL,60602
"Sigcho-Lopez, Byron",25,(773) 523-4100,,Ward25@cityofchicago.org,https://www.25thward.org,2100 West Cermak Road,Chicago,IL,60608,(312) 744-0209/1997/0584,"121 North LaSalle Street, Room 200, Office 11",Chicago,IL,60602
"Scott, Monique L.",24,(773) 533-2400,,ward24@cityofchicago.org,,1158 South Keeler Street,Chicago,IL,60624,(312) 744-6839/6849,"121 North LaSalle Street, Room 300",Chicago,IL,60602
